Found path: /home/ubuntu/VisualBanana_Linux/Banana.x86_64
Mono path[0] = '/home/ubuntu/VisualBanana_Linux/Banana_Data/Managed'
Mono config path = '/home/ubuntu/VisualBanana_Linux/Banana_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/ubuntu/.config/unity3d/Unity Technologies/Unity Environment/Player.log
ALSA lib confmisc.c:768:(parse_card) cannot find card '0'
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_card_driver returned error: No such file or directory
ALSA lib confmisc.c:392:(snd_func_concat) error evaluating strings
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_concat returned error: No such file or directory
ALSA lib confmisc.c:1251:(snd_func_refer) error evaluating name
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_refer returned error: No such file or directory
ALSA lib conf.c:4771:(snd_config_expand) Evaluate error: No such file or directory
ALSA lib pcm.c:2266:(snd_pcm_open_noupdate) Unknown PCM default
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 1
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 0
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
Starting new process with global episode number  0
Number of agents: 1
Number of actions: 4
States look like: []
States have length: 0
Pixel states have length: torch.Size([1, 3, 84, 84])
Episode 0	Average Score: 0.00
Episode 0	Average Score: 0.00
Episode 1	Average Score: 0.00
Episode 2	Average Score: 0.00
Episode 3	Average Score: 0.75
Episode 4	Average Score: 1.00
Episode 5	Average Score: 0.50
Episode 6	Average Score: 0.43
Episode 7	Average Score: 0.12
Episode 8	Average Score: 0.11
Episode 9	Average Score: 0.20
Episode 10	Average Score: 0.27
Episode 10	Average Score: 0.27
Episode 11	Average Score: 0.42
Episode 12	Average Score: 0.23
Episode 13	Average Score: 0.21
Episode 14	Average Score: 0.13
Episode 15	Average Score: 0.06
Episode 16	Average Score: 0.12
Episode 17	Average Score: 0.00
Episode 18	Average Score: -0.21
Episode 19	Average Score: -0.20
Episode 20	Average Score: -0.24
Episode 20	Average Score: -0.24
Episode 21	Average Score: -0.23
Episode 22	Average Score: -0.17
Episode 23	Average Score: -0.21
Episode 24	Average Score: -0.20
Episode 25	Average Score: -0.19
Episode 26	Average Score: -0.15
Episode 27	Average Score: -0.14
Episode 28	Average Score: -0.10
Episode 29	Average Score: -0.07
Episode 30	Average Score: -0.06
Episode 30	Average Score: -0.06
Episode 31	Average Score: -0.12
Episode 32	Average Score: -0.09
Episode 33	Average Score: -0.09
Episode 34	Average Score: -0.09
Episode 35	Average Score: -0.11
Episode 36	Average Score: -0.16
Episode 37	Average Score: -0.16
Episode 38	Average Score: -0.18
Episode 39	Average Score: -0.20
Episode 40	Average Score: -0.32
Episode 40	Average Score: -0.32
Episode 41	Average Score: -0.29
Episode 42	Average Score: -0.26
Episode 43	Average Score: -0.23
Episode 44	Average Score: -0.22
Episode 45	Average Score: -0.22
Episode 46	Average Score: -0.21
Episode 47	Average Score: -0.17
Episode 48	Average Score: -0.12
Episode 49	Average Score: -0.16
Episode 50	Average Score: -0.20
Episode 50	Average Score: -0.20
Episode 51	Average Score: -0.17
Episode 52	Average Score: -0.15
Episode 53	Average Score: -0.15
Episode 54	Average Score: -0.20
Episode 55	Average Score: -0.21
Episode 56	Average Score: -0.21
Episode 57	Average Score: -0.19
Episode 58	Average Score: -0.19
Episode 59	Average Score: -0.18
Episode 60	Average Score: -0.15
Episode 60	Average Score: -0.15
Episode 61	Average Score: -0.15
Episode 62	Average Score: -0.13
Episode 63	Average Score: -0.08
Episode 64	Average Score: -0.06
Episode 65	Average Score: -0.06
Episode 66	Average Score: -0.07
Episode 67	Average Score: -0.09
Episode 68	Average Score: -0.10
Episode 69	Average Score: -0.09
